FID,DPTO_CCDGO,MPIO_CCDGO,CPOB_CNMBR,CPOB_NANO,CPOB_CSMBL,latitude,longitude,DPNP,DPNP_Dbl,Desplazado,Refugiados,IDPs,TotalImpct
907,81,300,FORTUL,2011,5,6.793989163400000,-71.772006926700001,81300,81300.000000000000000,5617.000000000000000,4123.000000000000000,1038.000000000000000,10778.000000000000000
908,81,591,PUERTO RONDÓN,2011,5,6.279863385580000,-71.103069430000005,81591,81591.000000000000000,2526.000000000000000,877.000000000000000,1026.000000000000000,4429.000000000000000
909,81,794,TAME,2011,5,6.457691746660000,-71.740613192599994,81794,81794.000000000000000,32641.000000000000000,5062.000000000000000,17150.000000000000000,54853.000000000000000
910,81,001,ARAUCA,2012,5,7.077995405190000,-70.761888237199997,81001,81001.000000000000000,8937.000000000000000,19390.000000000000000,7400.000000000000000,35727.000000000000000
911,85,001,YOPAL,2012,5,5.332228105260000,-72.393994248599995,85001,85001.000000000000000,4917.000000000000000,19675.000000000000000,2748.000000000000000,27340.000000000000000
912,85,250,PAZ DE ARIPORO,2011,5,5.881402623480000,-71.891728678999996,85250,85250.000000000000000,3123.000000000000000,2898.000000000000000,906.000000000000000,6927.000000000000000
913,85,263,PORE,2011,5,5.726766202040000,-71.992392808100007,85263,85263.000000000000000,2189.000000000000000,510.000000000000000,320.000000000000000,3019.000000000000000
914,85,300,SABANALARGA,2011,5,4.853360442140000,-73.039175744500000,85300,85300.000000000000000,218.000000000000000,299.000000000000000,54.000000000000000,571.000000000000000
915,85,315,SÁCAMA,2011,5,6.097899115620000,-72.248893573499998,85315,85315.000000000000000,764.000000000000000,456.000000000000000,315.000000000000000,1535.000000000000000
916,85,325,SAN LUIS DE PALENQUE,2011,5,5.421839576490000,-71.731229886999998,85325,85325.000000000000000,841.000000000000000,257.000000000000000,60.000000000000000,1158.000000000000000
917,85,410,TAURAMENA,2011,5,5.014150559270000,-72.748974320200006,85410,85410.000000000000000,2591.000000000000000,1324.000000000000000,1198.000000000000000,5113.000000000000000
918,85,400,TÁMARA,2011,5,5.830052119090000,-72.162931147799995,85400,85400.000000000000000,1659.000000000000000,78.000000000000000,313.000000000000000,2050.000000000000000
919,85,430,TRINIDAD,2011,5,5.411016223800000,-71.662678650800004,85430,85430.000000000000000,1311.000000000000000,436.000000000000000,244.000000000000000,1991.000000000000000
920,85,010,AGUAZUL,2011,5,5.169985430680000,-72.552585337799997,85010,85010.000000000000000,4499.000000000000000,2252.000000000000000,815.000000000000000,7566.000000000000000
921,85,015,CHÁMEZA,2011,5,5.214106313290000,-72.869918154399997,85015,85015.000000000000000,1432.000000000000000,1045.000000000000000,1137.000000000000000,3614.000000000000000
922,85,279,RECETOR,2011,5,5.229148277370000,-72.760907218699998,85279,85279.000000000000000,1742.000000000000000,225.000000000000000,830.000000000000000,2797.000000000000000
923,85,440,VILLANUEVA,2011,5,4.610618197060000,-72.927167886199996,85440,85440.000000000000000,2889.000000000000000,2324.000000000000000,619.000000000000000,5832.000000000000000
924,85,125,HATO COROZAL,2011,5,6.156391811810000,-71.764627543700001,85125,85125.000000000000000,2351.000000000000000,1095.000000000000000,665.000000000000000,4111.000000000000000
925,85,136,LA SALINA,2011,5,6.127820359960000,-72.333967788500004,85136,85136.000000000000000,261.000000000000000,55.000000000000000,18.000000000000000,334.000000000000000
926,85,139,MANÍ,2011,5,4.817399352290000,-72.280766769600007,85139,85139.000000000000000,2139.000000000000000,999.000000000000000,2219.000000000000000,5357.000000000000000
927,85,162,MONTERREY,2011,5,4.877622010470000,-72.893882925100002,85162,85162.000000000000000,1912.000000000000000,1623.000000000000000,365.000000000000000,3900.000000000000000
928,85,225,NUNCHÍA,2011,5,5.637129374120000,-72.195382649500004,85225,85225.000000000000000,1312.000000000000000,289.000000000000000,280.000000000000000,1881.000000000000000
929,85,230,OROCUÉ,2011,5,4.790173152400000,-71.338453544299995,85230,85230.000000000000000,1076.000000000000000,660.000000000000000,244.000000000000000,1980.000000000000000
930,86,001,MOCOA,2012,5,1.151519448790000,-76.650874309499997,86001,86001.000000000000000,7910.000000000000000,34280.000000000000000,1750.000000000000000,43940.000000000000000
931,86,320,ORITO,2011,5,0.676020477276000,-76.880209855999993,86320,86320.000000000000000,21729.000000000000000,4900.000000000000000,5368.000000000000000,31997.000000000000000
932,86,568,PUERTO ASÍS,2011,5,0.504218750718000,-76.497836671700000,86568,86568.000000000000000,28980.000000000000000,15777.000000000000000,16732.000000000000000,61489.000000000000000
933,86,760,SANTIAGO,2011,5,1.146570093670000,-77.002511406799997,86760,86760.000000000000000,870.000000000000000,794.000000000000000,982.000000000000000,2646.000000000000000
934,86,219,COLÓN,2011,5,1.189570214820000,-76.972545736100003,86219,86219.000000000000000,531.000000000000000,1405.000000000000000,28.000000000000000,1964.000000000000000
