ID	NAME	LATITUDE	LONGITUDE	DISPLACED	REFUGEES	IDPS	TOTAL_IMPACT	POPULATION
20045	BECERRIL	9.705162495	-73.27915878	8944	3160	6907	19011	13941
13744	SIMITÍ	7.955220135	-73.94636611	13544	1529	3858	18931	18418
13688	SANTA ROSA DEL SUR	7.963478802	-74.05059886	6169	3900	8832	18901	34015
5284	FRONTINO	6.775585014	-76.1312234	8539	3232	7089	18860	20031
13006	ACHÍ	8.56785243	-74.55549177	15231	1107	2522	18860	19644
70771	SUCRE	8.813572579	-74.72206664	13336	1740	3672	18748	22463
20621	ROBLES	10.38646779	-73.17269131	9099	5326	4088	18513	21874
18610	SAN JOSÉ DEL FRAGUA	1.331725838	-75.97366185	14195	1789	2498	18482	13882
52490	BOCAS DE SATINGA	2.347547107	-78.32877504	11959	2727	3529	18215	27359
23555	PLANETA RICA	8.409121495	-75.58409656	6754	10144	1288	18186	61692
27006	ACANDÍ	8.510949896	-77.27861806	6063	2533	9587	18183	10455
5895	ZARAGOZA	7.488149672	-74.86796174	11500	2737	3829	18066	26959
47245	EL BANCO	8.998318273	-73.97939172	7469	10183	312	17964	54855
41298	GARZÓN	2.195652802	-75.62673823	6176	11020	766	17962	69823
18860	VALPARAÍSO	1.197615252	-75.70536629	13666	1108	2887	17661	11100
70678	SAN BENITO ABAD	8.929924408	-75.03136903	10000	2821	4827	17648	22972
19100	BOLÍVAR	1.837562703	-76.9667572	16312	843	320	17475	43978
86569	PUERTO CAICEDO	0.6850641787	-76.60451782	13239	1721	2429	17389	14206
47605	REMOLINO	10.70184738	-74.71654494	12096	875	4407	17378	8751
47660	SAN ÁNGEL	10.03251902	-74.21396122	14916	658	1790	17364	14895
5893	CASABE	7.002806783	-73.91035362	12132	1665	3447	17244	15097
18460	MILÁN	1.29064424	-75.50753031	14459	654	1762	16875	11487
5736	SEGOVIA	7.079920327	-74.69930004	12539	3141	1070	16750	35071
18247	EL DONCELLO	1.679063507	-75.28283737	10990	4318	1284	16592	21547
18256	EL PAUJÍL	1.570491137	-75.32674565	7774	5831	2898	16503	17634
70418	LOS PALMITOS	9.38017706	-75.26813259	8269	4958	3265	16492	19315
5615	RIONEGRO	6.146220061	-75.37625576	1529	14588	286	16403	100502
19532	EL BORDO	2.113081391	-76.98568182	12622	2821	906	16349	33195
5543	PEQUE	7.022099872	-75.90867121	6270	354	9592	16216	9621
50006	ACACÍAS	3.991014028	-73.76560234	3541	11977	574	16092	54219
25394	LA PALMA	5.358965225	-74.39091128	12638	471	2942	16051	9918
41020	ALGECIRAS	2.522555905	-75.31569465	14786	956	269	16011	23427
13473	MORALES	8.275812535	-73.86788188	9681	2089	4218	15988	18523
18785	SOLITA	0.8723982435	-75.62013109	12511	2226	1212	15949	9134
99773	CUMARIBO	4.444487622	-69.79854267	14375	351	1209	15935	28718
13074	BARRANCO DE LOBA	8.946018513	-74.10621464	9974	703	5205	15882	15148
20550	PELAYA	8.687890965	-73.66591297	8414	3585	3853	15852	16561
