,ID,NAME,LATITUDE,LONGITUDE,DISPLACED,REFUGEES,IDPS,TOTAL_IMPACT,POPULATION
134,05659,SAN JUAN DE URABÁ,8.75949060552,-76.528889794,11960.0,11365.0,3191.0,26702.0,19992.0
135,17541,PENSILVANIA,5.38460814527,-75.15923798,15587.0,1754.0,8652.0,26661.0,17107.0
136,70771,SUCRE,8.81357257884,-74.7220666385,17385.0,3062.0,4223.0,26579.0,23971.0
137,27800,UNGUÍA,8.04363271513,-77.0932294835,13132.0,2987.0,9105.0,26427.0,12192.0
138,68307,GIRÓN,7.07176114996,-73.1682549002,2311.0,21534.0,821.0,26425.0,148741.0
139,86573,PUERTO LEGUÍZAMO,-0.184973168284,-74.7836699475,15312.0,4781.0,3738.0,25988.0,18497.0
140,13688,SANTA ROSA DEL SUR,7.96347880175,-74.0505988632,8754.0,5788.0,10872.0,25786.0,27284.0
141,73067,ATACO,3.59116486731,-75.3824540225,18765.0,1007.0,4061.0,25760.0,18218.0
142,20517,PAILITAS,8.95604299466,-73.6253987915,11996.0,5291.0,7301.0,25424.0,16800.0
143,23555,PLANETA RICA,8.40912149513,-75.5840965622,9902.0,12912.0,1615.0,25313.0,60245.0
144,05093,BETULIA,6.10909980729,-75.9841907479,12063.0,2825.0,10247.0,25175.0,15069.0
145,20060,BOSCONIA,9.97437199426,-73.888041926,8360.0,13029.0,2937.0,25140.0,37499.0
146,19318,GUAPÍ,2.57069210962,-77.8856832383,12254.0,6314.0,5808.0,25122.0,23775.0
147,20621,ROBLES,10.3864677933,-73.1726913052,11570.0,7029.0,5532.0,24975.0,26105.0
148,20750,SAN DIEGO,10.3336927783,-73.1807287956,10060.0,5987.0,7890.0,24785.0,18530.0
149,86885,VILLAGARZÓN,1.03086306414,-76.6146582665,12690.0,6767.0,3098.0,24724.0,21977.0
150,05495,NECHÍ,8.08807817613,-74.7767992673,12328.0,5657.0,5741.0,23874.0,24030.0
151,13894,ZAMBRANO,9.74856772596,-74.8149599707,12977.0,1164.0,9235.0,23764.0,11367.0
152,05895,ZARAGOZA,7.48814967207,-74.8679617402,16088.0,3432.0,3930.0,23698.0,24052.0
153,20400,LA JAGUA DE IBIRICO,9.5628670562,-73.3355518107,14020.0,3420.0,5395.0,23667.0,37106.0
154,05483,NARIÑO,5.61099552188,-75.1749212943,15285.0,1487.0,6623.0,23539.0,8599.0
155,76520,PALMIRA,3.53293709282,-76.2982156806,4989.0,14249.0,2142.0,23441.0,299173.0
156,54670,SAN CALIXTO,8.39831528626,-73.2066910223,10615.0,1732.0,9365.0,23329.0,9915.0
157,18610,SAN JOSÉ DEL FRAGUA,1.33172583838,-75.9736618541,16595.0,2560.0,3435.0,23300.0,10965.0
158,70678,SAN BENITO ABAD,8.92992440779,-75.0313690338,11732.0,3770.0,5685.0,23084.0,25511.0
159,13744,SIMITÍ,7.95522013541,-73.9463661065,16028.0,1909.0,4720.0,23031.0,15264.0
160,20045,BECERRIL,9.70516249492,-73.2791587811,10269.0,3749.0,8092.0,22922.0,20474.0
161,41298,GARZÓN,2.19565280168,-75.62673823,7203.0,13443.0,947.0,22820.0,65319.0
162,05736,SEGOVIA,7.07992032695,-74.6993000375,17186.0,4016.0,1389.0,22799.0,33310.0
163,47245,EL BANCO,8.99831827329,-73.979391715,8837.0,12118.0,445.0,22727.0,59360.0
164,54720,SARDINATA,8.08423365811,-72.8000611215,13169.0,2538.0,5268.0,22598.0,21159.0
165,27006,ACANDÍ,8.51094989588,-77.2786180632,7846.0,2858.0,10745.0,22596.0,12095.0
166,05652,SAN FRANCISCO,5.96417239349,-75.101852968,14315.0,1742.0,6352.0,22589.0,5223.0
167,05284,FRONTINO,6.77558501444,-76.1312233968,10257.0,3748.0,8343.0,22444.0,20111.0
168,99773,CUMARIBO,4.44448762205,-69.7985426683,17647.0,467.0,1711.0,22069.0,39954.0
169,86569,PUERTO CAICEDO,0.685064178705,-76.6045178172,14905.0,2157.0,2742.0,21957.0,11082.0
170,76233,DAGUA,3.65739350091,-76.6891747624,7125.0,6524.0,6239.0,21923.0,39550.0
171,27025,PIE DE PATO,5.51613684806,-76.9746369543,16154.0,126.0,4427.0,21856.0,23954.0
172,47605,REMOLINO,10.7018473845,-74.7165449361,14230.0,1055.0,4991.0,21625.0,9555.0
173,47660,SAN ÁNGEL,10.032519022,-74.2139612232,17240.0,792.0,2072.0,21455.0,14047.0
174,70418,LOS PALMITOS,9.38017706005,-75.26813259,9570.0,6101.0,3872.0,21428.0,21831.0
175,52786,TAMINANGO,1.57012763757,-77.2807279183,2216.0,17233.0,325.0,21321.0,15412.0
176,19100,BOLÍVAR,1.83756270298,-76.9667571993,19048.0,1043.0,402.0,21221.0,35625.0
177,18860,VALPARAÍSO,1.19761525181,-75.705366285,15448.0,1300.0,3587.0,21053.0,5678.0
178,41020,ALGECIRAS,2.52255590505,-75.3156946518,18133.0,1271.0,415.0,21034.0,20015.0
179,50006,ACACÍAS,3.99101402798,-73.7656023438,4455.0,14369.0,699.0,20896.0,73925.0
180,19532,EL BORDO,2.11308139072,-76.985681817,15138.0,3715.0,1268.0,20889.0,28361.0
181,13473,MORALES,8.27581253545,-73.8678818761,12518.0,2597.0,4905.0,20362.0,18678.0
182,18247,EL DONCELLO,1.67906350696,-75.2828373662,12964.0,5145.0,1531.0,20338.0,17572.0
183,05893,CASABE,7.00280678303,-73.9103536152,14019.0,2061.0,3993.0,20319.0,17493.0
184,27077,PIZARRO,4.95351524875,-77.3659915836,8161.0,2370.0,8515.0,20203.0,18451.0
185,05854,VALDIVIA,7.1631376806,-75.4397119153,10970.0,6496.0,2415.0,20111.0,11511.0
186,20550,PELAYA,8.6878909654,-73.6659129701,10290.0,4420.0,4355.0,19903.0,18487.0
187,66572,PUEBLO RICO,5.22209118924,-76.0307989103,13498.0,2310.0,2391.0,19880.0,14429.0
188,27150,CURBARADÓ,7.15741302428,-76.971876826,12807.0,418.0,5447.0,19837.0,13111.0
189,18256,EL PAUJÍL,1.57049113691,-75.3267456515,9164.0,6707.0,3231.0,19802.0,12822.0
190,05615,RIONEGRO,6.14622006057,-75.3762557551,1950.0,17184.0,368.0,19670.0,114851.0
191,18460,MILÁN,1.29064424043,-75.5075303109,16589.0,787.0,1585.0,19665.0,6980.0
